hcpcs_code,record_count,total_claims,total_paid,cost_per_claim
J2326,64,1353.0,124690714.32999997,92158.69499630449
J1426,37,2062.0,65639662.45000002,31833.00797769157
J7170,319,10264.0,247040459.6099999,24068.63402279812
J1428,48,4411.0,92292115.57000001,20923.172879165722
0128,119,2451.0,39632292.7,16169.846062831499
J2350,1124,24420.0,391826851.66999996,16045.32562121212
J0584,220,10637.0,168353119.57999995,15827.124149666255
Q4205,81,5873.0,58786868.69,10009.683073386685
J7192,104,4303.0,42353008.71999999,9842.669932605157
J3357,95,2583.0,21433211.939999998,8297.797886178862
E0766,89,14740.0,112837252.04,7655.173137042063
0681,134,3052.0,22024915.529999997,7216.551615334206
0120,418,23367.0,157794236.14000002,6752.86669833526
T2039,201,5078.0,30540267.180000003,6014.231425758173
J9271,7201,230803.0,1229899613.4,5328.785212497239
A4575,328,16573.0,87463377.41999999,5277.461981536233
21299,54,10180.0,52775699.30000001,5184.253369351671
S3870,82,5184.0,26397318.339999996,5092.0752970679005
0101,249,13279.0,66032880.58999998,4972.729918668573
L8619,259,25283.0,123641503.63000003,4890.301927382036
