hcpcs_code,record_count,total_claims,total_paid,cost_per_claim
99213,13566914,764306590.0,33002827263.8539,43.18008989540951
99214,11728025,502480931.0,29913857937.707993,59.53232469573655
99284,3980198,170705529.0,20151783534.43045,118.04997560700245
99283,3270001,157926994.0,16874996865.610626,106.85315054885821
99285,2901462,111002396.0,15097200452.296051,136.00787907583592
36415,2730219,224973443.0,935786355.6899743,4.159541425029328
T1015,2429393,322233922.0,49152668633.44858,152.53722615041312
D0120,2280791,136235319.0,3814964188.5905848,28.002754473607425
85025,2259404,276124130.0,1268183294.6499608,4.592801413806033
90837,1869501,127195989.0,12067590643.090221,94.8739872850096
71045,1858018,112591845.0,916817062.7199628,8.142837189673577
99212,1841599,92299154.0,3847648825.1199846,41.68671822409103
D1120,1699599,108321764.0,3624050261.2700777,33.45634457420835
80053,1664536,226139755.0,1951315122.2698767,8.628801787946912
D0220,1658833,80066712.0,816074762.0400653,10.19243505390936
93010,1606947,84069729.0,487721420.04002976,5.801391604819254
D1110,1598227,58293656.0,2537761528.4809017,43.53409449016033
99203,1543645,47756882.0,3225842829.1998463,67.5471826071025
99232,1525745,96610775.0,2932275950.840008,30.351438034111702
D0230,1400453,149565588.0,940042718.1999719,6.285153762775779
