hcpcs_code,record_count,total_claims,total_paid,cost_per_claim
T1019,457916,1100608370.0,122739547514.25966,111.51972932411886
99213,13566914,764306590.0,33002827263.8539,43.18008989540951
99214,11728025,502480931.0,29913857937.707993,59.53232469573655
S5125,214380,398071209.0,31342185586.04007,78.73512295645594
T1015,2429393,322233922.0,49152668633.44858,152.53722615041312
H0020,125637,312323784.0,6253632954.989975,20.022916202212684
85025,2259404,276124130.0,1268183294.6499608,4.592801413806033
80053,1664536,226139755.0,1951315122.2698767,8.628801787946912
36415,2730219,224973443.0,935786355.6899743,4.159541425029328
99199,116848,173326821.0,2244557524.649992,12.949856875584143
99284,3980198,170705529.0,20151783534.43045,118.04997560700245
99283,3270001,157926994.0,16874996865.610626,106.85315054885821
A0100,69392,157024238.0,3993212793.5699635,25.43055036872692
D0230,1400453,149565588.0,940042718.1999719,6.285153762775779
D0120,2280791,136235319.0,3814964188.5905848,28.002754473607425
97110,1137186,135669845.0,4962727015.450032,36.57944044566449
92507,945764,129458330.0,7484161290.329986,57.81135358636239
90837,1869501,127195989.0,12067590643.090221,94.8739872850096
97530,1089807,126200638.0,6219314705.240108,49.28116690852314
S5170,36119,122192059.0,2241711930.250003,18.34580699102552
